,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
31,34189.15905511811,70.19645113824743,3.3282073306361317,0.047898425223048484,3.2773767431936136,2.470194649931102,0.7400932851243731,35730.918209876545,67.20701847991931,4.8016386935340485,0.07220193211084304,4.313008277520281,3.4405199325821143,0.7760821434288762,8531_8533,2.0,2.0,0.0,32,2,32,1,32,1,32,33,1,31,33,417,FL-417 N,N,Freeway,0.35100178586400005,0.00534659980385,8531,8533,N,2,65863,4,417,82000,65863,70,101,70.0,0.00534659980385
32,37683.75503355705,70.72922111965289,3.1899659929900315,0.045537286795785545,3.3386928282026105,2.543022851521215,0.7531797161686637,28045.4062992126,74.79769190322942,2.8284806503073914,0.03814214873788917,3.5213286665418964,2.78813223436244,0.7737569667864911,7993_7091,18.0,12.0,6.0,33,2,33,1,33,1,33,34,1,32,34,417,FL-417 N,N,Freeway,1.10901760213,0.016125636869600002,7993,7091,E,2,65863,4,528,73393,65863,70,76,70.0,0.016125636869600002
33,28045.4062992126,74.79769190322942,2.8284806503073914,0.03814214873788917,3.5213286665418964,2.78813223436244,0.7737569667864911,52204.28086419753,73.09716732018894,2.6157414112446293,0.0361139366699036,3.5402051497517903,2.4481885929459093,0.6745113835953891,7091_6173,0.0,0.0,0.0,34,2,34,1,34,1,34,35,1,33,35,417,FL-417 N,N,Freeway,0.088467161331,0.00129944975974,7091,6173,N,2,65863,4,417,82802,65863,70,52,70.0,0.00129944975974
34,37392.385802469136,71.83284552835883,3.9063306881166064,0.05505475014885906,5.460825119745814,4.120564153185152,0.7444215676769607,37683.75503355705,70.72922111965289,3.1899659929900315,0.045537286795785545,3.3386928282026105,2.543022851521215,0.7531797161686637,6642_7993,11.0,8.0,3.0,35,2,35,1,35,1,35,36,1,34,36,417,FL-417 N,N,Freeway,0.46452594766599997,0.006760513474420001,6642,7993,N,2,65863,4,417,82000,65863,70,44,70.0,0.006760513474420001
35,52204.28086419753,73.09716732018894,2.6157414112446293,0.0361139366699036,3.5402051497517903,2.4481885929459093,0.6745113835953891,52055.813271604944,70.70933126725865,2.7396041147401715,0.03897069559475943,3.286205023187037,2.2097250347226467,0.6599324891787475,6173_8544,48.0,39.0,9.0,36,2,36,1,36,1,36,37,1,35,37,417,FL-417 N,N,Freeway,1.1323705209000001,0.016793898701,6173,8544,N,2,65863,6,417,96500,65863,70,52,70.0,0.016793898701
36,52446.43565891473,72.64359266188927,2.3074581406140937,0.031874667411068945,3.2674658958314753,2.3259872689382157,0.693099451396127,48964.53086419753,71.60164431691452,7.4992784497229135,0.1630327429825462,3.490403891086742,2.433296283368237,0.6853611781039388,8557_8553,11.0,10.0,1.0,37,2,37,1,37,1,37,38,1,36,38,417,FL-417 N,N,Freeway,0.414658818261,0.00613950048481,8557,8553,N,2,65863,6,417,96944,65863,70,50,70.0,0.00613950048481
37,48964.53086419753,71.60164431691452,7.4992784497229135,0.1630327429825462,3.490403891086742,2.433296283368237,0.6853611781039388,48739.279320987655,74.18471828292563,2.66630629539237,0.03623211913298727,4.850988549180963,3.422398534746588,0.6923178854875168,8553_6689,24.0,22.0,2.0,38,2,38,1,38,1,38,39,1,37,39,417,FL-417 N,N,Freeway,1.05476007377,0.0153501989885,8553,6689,N,2,65863,4,417,97500,65863,70,52,70.0,0.0153501989885
38,52055.813271604944,70.70933126725865,2.7396041147401715,0.03897069559475943,3.286205023187037,2.2097250347226467,0.6599324891787475,53675.85493827161,70.38411225823667,2.8206218033993995,0.040327192167111794,3.721089260703325,2.600681990079455,0.6873258187975407,8544_8386,23.0,15.0,8.0,39,2,39,1,39,1,39,40,1,38,40,417,FL-417 N,N,Freeway,0.597959122964,0.008744304166819998,8544,8386,N,2,65863,6,417,96500,65863,70,57,70.0,0.008744304166819998
39,53675.85493827161,70.38411225823667,2.8206218033993995,0.040327192167111794,3.721089260703325,2.600681990079455,0.6873258187975407,53221.49228395062,68.07848731058603,2.7941535716202472,0.04126337354133577,3.4295433101661272,2.2598319306982138,0.6485521039836748,8386_6314,4.0,3.0,1.0,40,2,40,1,40,1,40,41,1,39,41,417,FL-417 N,N,Freeway,0.24357475420000002,0.00356276320136,8386,6314,N,2,65863,6,417,96500,65863,70,49,70.0,0.00356276320136
40,53004.01388888888,72.79267934707335,2.1701957571039707,0.02989772743650885,3.4522093192026686,2.43288138834039,0.6953955606813114,52446.43565891473,72.64359266188927,2.3074581406140937,0.031874667411068945,3.2674658958314753,2.3259872689382157,0.693099451396127,6965_8557,30.0,24.0,6.0,41,2,41,1,41,1,41,42,1,40,42,417,FL-417 N,N,Freeway,1.02663032232,0.015074414342399999,6965,8557,N,2,65863,6,417,96500,65863,70,52,70.0,0.015074414342399999
