,day,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
38,3,42711.0,65.373893580947,4.556639540663425,0.07027891549750455,4.638405507933789,3.1101149503756647,0.6723886521274227,45536.10112359551,60.19749412994778,5.558278421685213,0.0925264789495516,4.558561864644606,2.797485679927468,0.6141237600933138,8280_8017,0.0,0.0,0.0,6,2,6,1,6,1,6,7,1,5,7,417,FL-417 N,N,Freeway,0.48831276454000005,0.00790947695148,8280,8017,E,2,45451,4,417,49278,45451,70,0,70.0,0.00790947695148
39,4,46344.85106382979,65.21392706482183,4.3305147144998815,0.06683998400208223,4.9857484402227294,3.091560140286441,0.6237942696493282,49208.89361702128,59.68716882423782,5.5816880624795315,0.09369683574694436,4.910812433486794,2.841893187390585,0.5776593530788429,8280_8017,2.0,2.0,0.0,6,2,6,1,6,1,6,7,1,5,7,417,FL-417 N,N,Freeway,0.48831276454000005,0.00790947695148,8280,8017,E,2,45451,4,417,49278,45451,70,0,70.0,0.00790947695148
40,5,43853.34782608696,66.47602975802565,5.56280871791718,0.09598509730370904,4.107185963542657,2.3372485376643906,0.5706288775913301,45244.69230769231,61.17036171560986,4.868036708374866,0.07965794111856378,4.262725247920152,2.3776843020986957,0.557502886770366,8280_8017,1.0,1.0,0.0,6,2,6,1,6,1,6,7,1,5,7,417,FL-417 N,N,Freeway,0.48831276454000005,0.00790947695148,8280,8017,E,2,45451,4,417,49278,45451,70,0,70.0,0.00790947695148
41,6,40925.34482758621,67.08850065498542,3.642784646364525,0.05458832853974598,3.8384294586070338,2.566414979637292,0.6680018926777848,42268.906976744176,62.29135219972044,5.0468592606289695,0.08118027057979131,4.033056868758333,2.6095260999980816,0.6452120994019135,8280_8017,0.0,0.0,0.0,6,2,6,1,6,1,6,7,1,5,7,417,FL-417 N,N,Freeway,0.48831276454000005,0.00790947695148,8280,8017,E,2,45451,4,417,49278,45451,70,0,70.0,0.00790947695148
42,0,44234.17021276597,63.697992248902075,4.651421949560432,0.07386251900540576,4.4817181504619805,3.7366021637064826,0.8080931381564637,42265.62365591398,65.77269297791732,4.335529180270714,0.0666576035931696,4.472152982343424,2.9758976731389457,0.6689692692232497,8107_8280,7.0,5.0,2.0,7,2,7,1,7,1,7,8,1,6,8,417,FL-417 N,N,Freeway,0.540099996322,0.008847969303379999,8107,8280,E,2,45451,4,417,48500,45451,70,0,70.0,0.008847969303379999
43,1,43043.38541666666,63.609363025914746,5.1196256587592135,0.08133772978489177,4.42412152123836,3.9096040084218937,0.8580232582225218,40818.03157894737,65.72688277316422,5.491306983292979,0.08716013880713322,4.298826262260996,2.8755148651176663,0.6716839302027389,8107_8280,8.0,7.0,1.0,7,2,7,1,7,1,7,8,1,6,8,417,FL-417 N,N,Freeway,0.540099996322,0.008847969303379999,8107,8280,E,2,45451,4,417,48500,45451,70,0,70.0,0.008847969303379999
44,2,44351.768421052635,63.237086331533014,5.6589308043078805,0.09032397631086304,4.673216963476607,4.152105219744471,0.8676857632425401,41085.904255319154,65.4792558025105,4.429503828838767,0.06851424401255182,4.527251636173042,3.1249593047672404,0.6896765147639227,8107_8280,4.0,4.0,0.0,7,2,7,1,7,1,7,8,1,6,8,417,FL-417 N,N,Freeway,0.540099996322,0.008847969303379999,8107,8280,E,2,45451,4,417,48500,45451,70,0,70.0,0.008847969303379999
45,3,45313.9,62.98899603447028,6.273442991033131,0.10045245967497256,4.890638164002132,4.492181573329809,0.8965500193429975,42711.0,65.373893580947,4.556639540663425,0.07027891549750455,4.638405507933789,3.1101149503756647,0.6723886521274227,8107_8280,7.0,6.0,1.0,7,2,7,1,7,1,7,8,1,6,8,417,FL-417 N,N,Freeway,0.540099996322,0.008847969303379999,8107,8280,E,2,45451,4,417,48500,45451,70,0,70.0,0.008847969303379999
46,4,49288.287234042546,63.2646024640825,4.737709561258441,0.07571764908647688,4.992281815472548,3.735339548465941,0.7323361132577919,46344.85106382979,65.21392706482183,4.3305147144998815,0.06683998400208223,4.9857484402227294,3.091560140286441,0.6237942696493282,8107_8280,11.0,11.0,0.0,7,2,7,1,7,1,7,8,1,6,8,417,FL-417 N,N,Freeway,0.540099996322,0.008847969303379999,8107,8280,E,2,45451,4,417,48500,45451,70,0,70.0,0.008847969303379999
47,5,45472.358695652176,64.49952829397172,2.1886807804745727,0.0340431390489208,3.8953917904870186,2.3218666913854014,0.5950791493550563,43853.34782608696,66.47602975802565,5.56280871791718,0.09598509730370904,4.107185963542657,2.3372485376643906,0.5706288775913301,8107_8280,5.0,5.0,0.0,7,2,7,1,7,1,7,8,1,6,8,417,FL-417 N,N,Freeway,0.540099996322,0.008847969303379999,8107,8280,E,2,45451,4,417,48500,45451,70,0,70.0,0.008847969303379999
