,hour,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
30,6,1308.4860813704495,64.44679019113357,1.6929280062526706,0.02628575056001884,3.1201133691899865,0.5749121801327892,0.1858103413990067,1298.6537634408605,65.33668593055688,1.4108598630296498,0.021602954059465537,3.1101174942640006,0.5535573860154809,0.18009363912543613,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
31,7,1784.5610278372592,63.521968089528464,1.6335510351534688,0.025744033861402383,3.971510284282265,0.659739351675948,0.16748185071174626,1769.989247311828,65.21058686435032,1.2623072466096994,0.01935521777808795,4.154399269090127,0.6704358287939426,0.16300617042869014,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
32,8,2010.9141630901288,62.4233362936438,1.497284617064805,0.023988764460224837,4.173196585519924,0.5447699077317367,0.1328181042804521,2006.566810344828,64.71445862887755,1.110903684767048,0.017158466999769802,4.70758522705312,0.5606344051240534,0.12207220430819445,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
33,9,2159.9763948497853,60.668867253362706,1.4096735738169817,0.023339088311883503,4.417568670088179,0.5689939529612624,0.13051960717455624,2158.7090517241377,63.697981237662056,1.0512750046349673,0.016598333470534975,5.2891036349971365,0.6213065808702424,0.1192477589209601,7010_6916,1.0,1.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
34,10,2353.164882226981,59.16898251730964,1.5544602436699702,0.026845752424299273,4.8672898575321435,0.6527758280949659,0.1310181226822233,2364.148387096774,62.75662764654705,1.1295184955631494,0.0187735268106091,5.9375948732669155,0.7182496034684653,0.11660010424099355,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
35,11,2418.948608137045,58.84108460581869,1.6670205263502396,0.029525478352126763,5.193824902366282,0.713428510942968,0.13047017379782433,2439.3857758620693,62.2321393578218,1.3397708180470431,0.02353615337860101,6.352069081541064,0.7929018194187712,0.11556239377711665,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
36,12,2260.623931623932,60.303201379787396,1.6747386872212615,0.02858647399944908,4.780661348771776,0.6455488820991556,0.1311170037394884,2283.6494623655913,62.95416963263737,1.4044668434072478,0.024258340474864148,5.832297717217077,0.7879120442450818,0.12297202544394492,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
37,13,2228.264957264957,61.14952440545068,1.5733188677542875,0.026462102148603672,4.662996276804972,0.643751522876397,0.13439568549217895,2246.124731182796,63.516403746840545,1.2922012694807046,0.021862144674342988,5.533504751421418,0.7104331246028865,0.12168622235955287,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
38,14,2513.884615384615,61.10789437195032,1.6470263337171451,0.028114783184047715,5.269002992115713,0.774941014399881,0.14061255684006205,2537.318279569893,63.19400459158523,1.5072926640991489,0.02656857478471852,6.280121846492813,0.9203042671629724,0.1317334722893811,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
39,15,3031.869658119658,59.02006915494382,2.7208434915578663,0.05161648420088927,6.996516465486084,1.3731802917995874,0.1736510110570728,3037.3476394849786,60.03969267142015,3.2824761902059554,0.06951811315494155,8.988784242700559,2.1178075642879914,0.1867561793430348,7010_6916,1.0,1.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
