,period,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RouteId,Direction,Roadtype,Miles,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SpeedLimit,Shape_Le_2,RuralUrban,AvgVolume,AvgSpeed,StdSpeed,CoefOfVarSpeed,AvgOccupancy,StdOccupancy,CoefOfVarOccupancy,LogVolume,LogSegLength,LaneNumber
10,2,7800.126984126982,69.68061778763435,1.4943144888289162,0.021640928662095483,3.9775632845870224,0.6706302066740492,0.16892823286825348,7814.9635193133045,66.96253167194052,1.3384787243341143,0.020245846148903675,4.8900308608846395,0.7187231456439055,0.14872502942927732,6068_8208,1.0,1.0,0.0,251,2,12,1,251,1,251,0,1,250,12,408,E West Expy E,E,Freeway,0.252460012189,0.0,6068,8208,E,2,65863,6,408,73500,65863,65,67,65.0,0.0041405043817800006,1,7807.545251720143,68.32157472978744,1.4163966065815152,0.02094338740549958,4.433797072735831,0.6946766761589773,0.15882663114876538,8.96284588507001,-1.376502410376507,1
11,3,17718.941309255082,69.5438435162724,1.2918784462911417,0.018691151031598928,4.120707505050612,0.8126883226077468,0.19437602583548225,17934.78540772532,66.92982121252822,1.1631371647077131,0.017530194871731082,5.048319381960245,0.8900619237416274,0.17570982572174712,6068_8208,1.0,1.0,0.0,251,2,12,1,251,1,251,0,1,250,12,408,E West Expy E,E,Freeway,0.252460012189,0.0,6068,8208,E,2,65863,6,408,73500,65863,65,67,65.0,0.0041405043817800006,1,17826.8633584902,68.23683236440031,1.2275078054994273,0.018110672951665005,4.584513443505429,0.8513751231746871,0.1850429257786147,9.788461776059648,-1.376502410376507,1
12,0,14181.8547008547,71.77095359015968,2.141487984774492,0.030009605525578683,1.9274813102261856,1.6110930422350622,0.8295517939131456,14487.356076759062,68.25912978999864,2.020156654410377,0.029782495123495963,1.8604947410105053,1.6261293298580994,0.8662888944559984,6218_6235,0.5,0.5,0.0,281,2,42,1,281,1,281,0,1,280,42,408,E West Expy E,E,Freeway,0.120153933304,0.0,6218,6235,E,2,65863,8,408,128500,65863,65,102,65.0,0.00197655978496,1,14334.605388806882,70.01504169007916,2.0808223195924347,0.02989605032453732,1.8939880256183454,1.6186111860465808,0.847920344184572,9.570431850126008,-2.118981580722923,2
13,1,8625.257510729614,71.67710175304303,1.3700100487747626,0.019288033915984104,4.860171028039725,1.4609005664301324,0.3010038792191411,8667.767094017094,67.88710881491876,1.3715253835355945,0.02038449625665095,4.7522527871000495,1.4907102581268048,0.31419329762288306,6218_6235,0.5,0.0,0.5,281,2,42,1,281,1,281,0,1,280,42,408,E West Expy E,E,Freeway,0.120153933304,0.0,6218,6235,E,2,65863,8,408,128500,65863,65,102,65.0,0.00197655978496,1,8646.512302373354,69.7821052839809,1.3707677161551786,0.01983626508631753,4.806211907569887,1.4758054122784685,0.30759858842101206,9.064911316580364,-2.118981580722923,2
14,2,18237.818376068368,66.07145995971719,5.91361482457683,0.0982532865455872,11.445843902104142,3.4031351214420527,0.2757472320729327,18358.737739872067,62.70426858252971,4.9649704883673405,0.08535217074248018,11.319722253144619,3.172588432967792,0.2626317373323608,6218_6235,0.5,0.5,0.0,281,2,42,1,281,1,281,0,1,280,42,408,E West Expy E,E,Freeway,0.120153933304,0.0,6218,6235,E,2,65863,8,408,128500,65863,65,102,65.0,0.00197655978496,1,18298.278057970216,64.38786427112345,5.439292656472086,0.09180272864403369,11.382783077624381,3.287861777204922,0.26918948470264675,9.814562239209398,-2.118981580722923,2
15,3,22654.07905982906,71.50206767141931,1.7570998447659107,0.02474337044952277,5.466011729919993,1.4333193706394862,0.2616661238317967,22836.84648187633,67.65707381153616,1.6977476100319098,0.02527449487502317,5.432889065632153,1.5330405888102052,0.2801847423223231,6218_6235,0.5,0.5,0.0,281,2,42,1,281,1,281,0,1,280,42,408,E West Expy E,E,Freeway,0.120153933304,0.0,6218,6235,E,2,65863,8,408,128500,65863,65,102,65.0,0.00197655978496,1,22745.462770852697,69.57957074147774,1.7274237273989104,0.02500893266227297,5.449450397776073,1.4831799797248457,0.2709254330770599,10.032120965844728,-2.118981580722923,2
16,0,5787.0877944325475,68.48099540011424,3.292226091455924,0.048913004291794335,2.026472070966115,1.6471391671064697,0.8054089442984554,6358.025751072962,67.80541330036951,3.0012624277514384,0.04706688612681193,1.4882704623666132,1.1581191812687806,0.7743890519129162,6225_8114,0.0,0.0,0.0,240,2,1,1,240,1,240,0,1,239,1,408,E West Expy E,E,Freeway,0.262477307822,0.0,6225,8114,E,2,65863,4,408,51146,65863,55,90,55.0,0.00425177483443,1,6072.556772752754,68.14320435024187,3.146744259603681,0.047989945209303136,1.7573712666663641,1.4026291741876251,0.7898989981056859,8.71153500998911,-1.3375906470795442,0
17,1,8821.09677419355,66.7150375932313,3.2044140814497304,0.049092613863168856,12.077078968428266,3.417766747411907,0.2815111286870072,10040.792207792209,65.67645528124626,2.201967588027032,0.03517005271728112,7.747674983547678,1.9821480547231127,0.2566278521311374,6225_8114,0.5,0.5,0.0,240,2,1,1,240,1,240,0,1,239,1,408,E West Expy E,E,Freeway,0.262477307822,0.0,6225,8114,E,2,65863,4,408,51146,65863,55,90,55.0,0.00425177483443,1,9430.944490992879,66.19574643723878,2.7031908347383813,0.04213133329022499,9.912376975987971,2.69995740106751,0.2690694904090723,9.151751528723667,-1.3375906470795442,0
18,2,7110.289079229124,67.39083942780866,2.231717444463421,0.0336264968493207,9.438074006567499,1.579373824861686,0.16645073000371755,7594.905376344086,66.55820808027559,1.9221525799242385,0.02960842699442595,6.113327971199424,1.0269505103742798,0.1681544878439847,6225_8114,0.0,0.0,0.0,240,2,1,1,240,1,240,0,1,239,1,408,E West Expy E,E,Freeway,0.262477307822,0.0,6225,8114,E,2,65863,4,408,51146,65863,55,90,55.0,0.00425177483443,1,7352.597227786605,66.97452375404212,2.0769350121938297,0.03161746192187333,7.775700988883461,1.303162167617983,0.16730260892385113,8.902808894113122,-1.3375906470795442,0
19,3,14356.295503211992,68.13676216016133,1.8143909564158207,0.026773617820471458,8.43884486616172,1.5025010415998616,0.17857581745200354,15714.422746781116,66.76128556428597,1.6664800022407755,0.025930419744184727,5.430258360159124,0.998846687665886,0.1844808520795954,6225_8114,0.5,0.0,0.5,240,2,1,1,240,1,240,0,1,239,1,408,E West Expy E,E,Freeway,0.262477307822,0.0,6225,8114,E,2,65863,4,408,51146,65863,55,90,55.0,0.00425177483443,1,15035.359124996554,67.44902386222364,1.7404354793282981,0.026352018782328093,6.934551613160422,1.2506738646328739,0.18152833476579947,9.61815998106996,-1.3375906470795442,0
